,uid,logf0_rmse_recon,logf0_corr_recon,logf0_rmse_gt,logf0_corr_gt
130,3733_140718_000024_000001,0.40561540879411584,0.34891852446898614,0.3694030212605114,0.4660309522290903
131,7833_102239_000017_000001,0.32769950586760527,0.3252343835202126,0.33238976694509065,0.14963652432608604
132,7538_100043_000047_000001,0.15652622537217864,0.8666410288054912,0.29039839012689667,0.5758916996778531
133,4800_38660_000008_000001,0.4400973659852606,0.2671876553361359,0.3578858366976158,0.4925431167287931
134,8113_301694_000008_000001,0.24161551756302935,0.43403896784768603,0.20316772642978415,0.6157640737940501
135,4356_6506_000063_000004,0.3187317531757955,0.6026982057829539,0.3589146135176114,-0.12960056213161128
136,4145_34497_000039_000003,0.24397114775868922,0.6916208706189386,0.312671449066123,0.6362870488058008
137,7910_105673_000004_000002,0.25675696495551886,0.4277131119533073,0.22172090407106276,0.5135818289455784
138,1271_133279_000011_000008,0.3382917211329958,0.6581012982736875,0.3339833578221258,0.6528181708837664
139,8329_279775_000011_000000,0.2066002057265393,0.746908597522254,0.12601295328149506,0.9045085413956315
140,1392_140654_000003_000002,0.2432052969527084,0.5739017879969068,0.20912998727673418,0.6086598222456412
141,2785_163322_000055_000000,0.5022247937163182,0.0540862293440699,0.7031076950454824,0.2832601469333916
142,2512_157242_000135_000000,0.22767585218441028,0.6516811931626365,0.2256151016949809,0.18037552060099987
143,7481_101276_000055_000000,0.2488093327082676,0.5667449702738198,0.24572327986585982,0.6203019410814954
144,1079_128632_000059_000000,0.4104114445429939,0.3390380847541731,0.28858098648888064,0.6038823494067462
145,7705_101579_000038_000003,0.2545996397421821,0.4653594370469661,0.16025495438502385,0.5721121026496129
146,1289_288044_000031_000001,0.2829863369760171,0.4526490720173318,0.1910019942816691,0.6373320234114799
147,7245_104890_000096_000000,0.32824118329058505,0.5606243890242847,0.26997601900136375,0.7478001960461422
148,6788_111574_000019_000003,0.39214642533294286,0.7472801997549738,0.28114958144901425,0.8544962141699712
149,7705_101580_000007_000000,0.19333968493176154,0.5787644532714868,0.25120588027283686,0.35128241500101764
150,7134_67233_000008_000002,0.2266597189211962,0.600542921086041,0.2666388251563896,0.2865008799876787
151,5622_44586_000040_000001,0.30267570337716476,0.6045234699415323,0.20996823522683455,0.35885592447514947
