wer,ld,m,insertions,deletions,substitutions,inserted_words,deleted_words,substituted_words
0.3076923076923077,4,13,0,0,1,[],[],"[('impoverishment', 'empowerment')]"
0.16666666666666666,4,24,0,0,1,[],[],"[('whose', 'who')]"
0.0,0,8,0,0,0,[],[],[]
2.2,11,5,1,0,2,['calc'],[],"[('calcraft', 'kraft'), ('noose', 'news')]"
0.6470588235294118,11,17,0,1,2,[],['buncher'],"[('mister', 'mr'), ('misess', 'mrs')]"
0.16666666666666666,4,24,0,0,1,[],[],"[('lamentation', 'laventation')]"
0.3684210526315789,7,19,1,0,1,['all'],[],"[('altogether', 'together')]"
0.3888888888888889,7,18,1,0,1,['color'],[],"[('palmprint', 'print')]"
0.0,0,23,0,0,0,[],[],[]
0.0,0,20,0,0,0,[],[],[]
0.0,0,12,0,0,0,[],[],[]
0.875,14,16,2,0,2,"['twenty', 'sixty']",[],"[('twentyeight', 'eight'), ('sixtythree', 'three')]"
0.4782608695652174,11,23,1,0,2,['lower'],[],"[('lowercase', 'case'), ('schoeffer', 'chauffeur')]"
0.0,0,19,0,0,0,[],[],[]
0.24,6,25,0,2,0,[],"['end', 'quote']",[]
0.0,0,27,0,0,0,[],[],[]
0.4,8,20,0,0,2,[],[],"[('fauntleroy', 'fondleroy'), ('durance', 'jurors')]"
0.0,0,28,0,0,0,[],[],[]
0.0,0,22,0,0,0,[],[],[]
0.0,0,22,0,0,0,[],[],[]
0.6428571428571429,18,28,2,0,3,"['coffee', 'bake']",[],"[('marshals', 'marshalls'), ('coffeehouse', 'house'), ('bakehouse', 'house')]"
0.0,0,8,0,0,0,[],[],[]
0.4375,7,16,0,1,1,[],['well'],"[('disposed', 'welldisposed')]"
0.23333333333333334,7,30,1,0,1,['six'],[],"[('sixpence', 'pence')]"
0.0,0,10,0,0,0,[],[],[]
0.0,0,16,0,0,0,[],[],[]
0.0,0,5,0,0,0,[],[],[]
0.0,0,6,0,0,0,[],[],[]
0.85,17,20,3,0,2,"['ticket', 'of', 'eighty']",[],"[('ticketofleave', 'leave'), ('eightytwo', 'two')]"
0.0,0,9,0,0,0,[],[],[]
1.75,7,4,1,0,1,['stem'],[],"[('stemmons', 'and')]"
0.0,0,7,0,0,0,[],[],[]
0.0,0,22,0,0,0,[],[],[]
0.23529411764705882,4,17,0,0,1,[],[],"[('hertford', 'hartford')]"
0.0,0,19,0,0,0,[],[],[]
0.4,4,10,0,0,1,[],[],"[('ministrations', 'administrations')]"
0.0,0,16,0,0,0,[],[],[]
0.0,0,20,0,0,0,[],[],[]
0.0,0,19,0,0,0,[],[],[]
0.0,0,6,0,0,0,[],[],[]
0.0,0,21,0,0,0,[],[],[]
0.5833333333333334,7,12,0,1,1,[],['old'],"[('style', 'oldstyle')]"
0.23529411764705882,4,17,0,0,1,[],[],"[('gatesman', 'gayson')]"
0.3333333333333333,4,12,0,0,1,[],[],"[('forgers', 'foragers')]"
0.0,0,14,0,0,0,[],[],[]
2.5625,41,16,6,1,5,"['make', 'a', 'pattern', 'loved', 'little', 'cuss']",['but'],"[('measure', 'at'), ('accurately', 'meg'), ('multiple', 'cross'), ('crisscross', 'file'), ('fractures', 'characters')]"
2.1538461538461537,28,13,4,0,4,"['mute', 'hand', 'taxis', 'in']",[],"[('mutineers', 'nears'), ('unawares', 'unaware'), ('handspikes', 'spikes'), ('capstanbars', 'bars')]"
1.5,21,14,2,1,3,"['twenty', 'sixty']",['school'],"[('book', 'schoolbook'), ('twentytwo', 'two'), ('sixtythree', 'three')]"
0.0,0,9,0,0,0,[],[],[]
0.0,0,14,0,0,0,[],[],[]
0.42857142857142855,3,7,0,1,0,[],['youngblood'],[]
0.0,0,18,0,0,0,[],[],[]
0.4444444444444444,4,9,0,0,1,[],[],"[('able', 'abel')]"
0.0,0,23,0,0,0,[],[],[]
0.32,8,25,0,0,2,[],[],"[('dougherty', 'dirty'), ('jarman', 'german')]"
0.5,7,14,1,0,1,['carpet'],[],"[('carpetbag', 'bag')]"
0.6,6,10,0,2,0,[],"['end', 'quote']",[]
0.6470588235294118,11,17,1,0,2,['two'],[],"[('twoinch', 'inch'), ('end', 'and')]"
0.3333333333333333,6,18,0,2,0,[],"['end', 'quote']",[]
0.6666666666666666,4,6,0,0,1,[],[],"[('in', 'and')]"
0.19047619047619047,4,21,0,0,1,[],[],"[('only', 'wholly')]"
0.8333333333333334,15,18,1,0,3,['maid'],[],"[('gleeson', 'gleason'), ('ann', 'and'), ('maidservant', 'servant')]"
0.0,0,16,0,0,0,[],[],[]
0.0,0,7,0,0,0,[],[],[]
0.2692307692307692,7,26,0,1,1,[],['elm'],"[('and', 'eleman')]"
0.0,0,20,0,0,0,[],[],[]
0.0,0,6,0,0,0,[],[],[]
0.0,0,17,0,0,0,[],[],[]
0.0,0,7,0,0,0,[],[],[]
0.0,0,22,0,0,0,[],[],[]
0.0,0,9,0,0,0,[],[],[]
0.5,7,14,1,0,1,['in'],[],"[('entreating', 'treating')]"
0.0,0,8,0,0,0,[],[],[]
0.3076923076923077,4,13,0,0,1,[],[],"[('palmprints', 'fingerprints')]"
0.0,0,19,0,0,0,[],[],[]
0.3333333333333333,7,21,1,0,1,['dwelling'],[],"[('dwellinghouse', 'house')]"
0.5,7,14,0,1,1,[],['school'],"[('book', 'schoolbook')]"
0.30434782608695654,7,23,1,0,1,['new'],[],"[('newgate', 'gate')]"
0.3181818181818182,7,22,0,1,1,[],['revill'],"[('hosty', 'hostie')]"
0.0,0,15,0,0,0,[],[],[]
0.35,7,20,0,1,1,[],['hidell'],"[('alek', 'alec')]"
3.5,7,2,1,0,1,['vice'],[],"[('vicepresidential', 'presidential')]"
0.0,0,8,0,0,0,[],[],[]
0.0,0,20,0,0,0,[],[],[]
0.0,0,12,0,0,0,[],[],[]
0.3,6,20,0,2,0,[],"['that', 'quote']",[]
0.0,0,17,0,0,0,[],[],[]
0.0,0,4,0,0,0,[],[],[]
0.4,4,10,0,0,1,[],[],"[('provisions', 'provision')]"
0.0,0,12,0,0,0,[],[],[]
0.2916666666666667,7,24,0,1,1,[],['on'],"[('to', 'onto')]"
0.5714285714285714,12,21,0,0,3,[],[],"[('ward', 'award'), ('he', 'heat'), ('chose', 'shows')]"
0.0,0,24,0,0,0,[],[],[]
0.0,0,20,0,0,0,[],[],[]
0.17391304347826086,4,23,0,0,1,[],[],"[('allusions', 'illusions')]"
0.0,0,18,0,0,0,[],[],[]
0.0,0,25,0,0,0,[],[],[]
0.0,0,13,0,0,0,[],[],[]
0.3333333333333333,7,21,1,0,1,['more'],[],"[('moreover', 'over')]"
0.0,0,17,0,0,0,[],[],[]
0.0,0,24,0,0,0,[],[],[]
0.17647058823529413,3,17,0,1,0,[],['altgens'],[]
0.13636363636363635,3,22,0,1,0,[],['for'],[]
0.15789473684210525,3,19,0,1,0,[],['lovelady'],[]
0.5238095238095238,11,21,1,0,2,['wei'],[],"[('wiedersheims', 'xuanyans'), ('vertebrates', 'vertibritz')]"
0.0,0,22,0,0,0,[],[],[]
0.0,0,14,0,0,0,[],[],[]
0.0,0,9,0,0,0,[],[],[]
0.0,0,16,0,0,0,[],[],[]
0.21052631578947367,4,19,0,0,1,[],[],"[('unaffectedly', 'unaffected')]"
0.5,4,8,0,0,1,[],[],"[('it', 'its')]"
0.0,0,6,0,0,0,[],[],[]
0.0,0,15,0,0,0,[],[],[]
0.0,0,15,0,0,0,[],[],[]
0.23076923076923078,6,26,0,2,0,[],"['end', 'quote']",[]
0.0,0,17,0,0,0,[],[],[]
0.5,7,14,1,0,1,['low'],[],"[('lowcountry', 'country')]"
0.0,0,16,0,0,0,[],[],[]
0.631578947368421,12,19,0,0,3,[],[],"[('mister', 'mr'), ('shrigley', 'shreway'), ('mister', 'mr')]"
0.4375,7,16,1,0,1,['more'],[],"[('moreover', 'over')]"
0.0,0,14,0,0,0,[],[],[]
0.0,0,12,0,0,0,[],[],[]
0.0,0,14,0,0,0,[],[],[]
0.2,4,20,0,0,1,[],[],"[('putney', 'puthni')]"
0.30434782608695654,7,23,0,1,1,[],['the'],"[('third', 'iii')]"
0.17391304347826086,4,23,0,0,1,[],[],"[('tippit', 'tippett')]"
0.0,0,10,0,0,0,[],[],[]
0.0,0,25,0,0,0,[],[],[]
0.14285714285714285,4,28,0,0,1,[],[],"[('state', 'states')]"
0.3181818181818182,7,22,1,0,1,['of'],[],"[('adjoining', 'joining')]"
0.0,0,21,0,0,0,[],[],[]
0.0,0,23,0,0,0,[],[],[]
0.0,0,13,0,0,0,[],[],[]
0.0,0,14,0,0,0,[],[],[]
0.19047619047619047,4,21,0,0,1,[],[],"[('nicol', 'nichol')]"
0.0,0,22,0,0,0,[],[],[]
0.0,0,15,0,0,0,[],[],[]
0.35294117647058826,6,17,0,2,0,[],"['end', 'quote']",[]
0.4,8,20,0,0,2,[],[],"[('quotes', 'quote'), ('a', 'to')]"
0.16666666666666666,4,24,0,0,1,[],[],"[('planted', 'landed')]"
0.5555555555555556,10,18,1,1,1,['falling'],['the'],"[('fallingoff', 'off')]"
0.16666666666666666,4,24,0,0,1,[],[],"[('an', 'and')]"
0.13793103448275862,4,29,0,0,1,[],[],"[('bermondsey', 'bermansy')]"
0.7777777777777778,7,9,0,1,1,[],['prs'],"[('bouck', 'book')]"
0.16,4,25,0,0,1,[],[],"[('mere', 'mirrored')]"
0.21052631578947367,4,19,0,0,1,[],[],"[('mister', 'mr')]"
0.0,0,21,0,0,0,[],[],[]
0.0,0,8,0,0,0,[],[],[]
0.2857142857142857,6,21,0,2,0,[],"['end', 'quote']",[]
0.0,0,17,0,0,0,[],[],[]
0.38095238095238093,8,21,0,0,2,[],[],"[('an', 'and'), ('habitual', 'bichwell')]"
0.0,0,19,0,0,0,[],[],[]
0.0,0,21,0,0,0,[],[],[]
0.25925925925925924,7,27,1,0,1,['lunch'],[],"[('luncheon', 'and')]"
0.0,0,26,0,0,0,[],[],[]
0.5454545454545454,12,22,0,4,0,[],"['two', 'five', 'one', 'five']",[]
0.0,0,12,0,0,0,[],[],[]
0.0,0,12,0,0,0,[],[],[]
0.0,0,8,0,0,0,[],[],[]
0.0,0,19,0,0,0,[],[],[]
0.0,0,22,0,0,0,[],[],[]
0.34782608695652173,8,23,0,0,2,[],[],"[('suturing', 'securing'), ('lung', 'long')]"
0.0,0,16,0,0,0,[],[],[]
0.0,0,17,0,0,0,[],[],[]
0.0,0,10,0,0,0,[],[],[]
1.75,7,4,0,1,1,[],['misess'],"[('paine', 'pain')]"
0.6666666666666666,8,12,0,0,2,[],[],"[('alone', 'lone'), ('had', 'heads')]"
0.0,0,17,0,0,0,[],[],[]
0.2,4,20,0,0,1,[],[],"[('husbands', 'husband')]"
0.3684210526315789,7,19,1,0,1,['miss'],[],"[('mishap', 'hap')]"
0.18181818181818182,4,22,0,0,1,[],[],"[('marksmen', 'marksman')]"
0.19047619047619047,4,21,0,0,1,[],[],"[('agar', 'egger')]"
0.6,6,10,0,2,0,[],"['six', 'seven']",[]
0.0,0,20,0,0,0,[],[],[]
0.0,0,7,0,0,0,[],[],[]
0.4117647058823529,7,17,0,1,1,[],['the'],"[('fourth', 'iv')]"
0.0,0,19,0,0,0,[],[],[]
0.15789473684210525,3,19,0,1,0,[],['one'],[]
0.0,0,13,0,0,0,[],[],[]
0.8235294117647058,14,17,0,2,2,[],"['misess', 'linnie']","[('mae', 'may'), ('randle', 'randall')]"
0.0,0,10,0,0,0,[],[],[]
