wer,ld,m,insertions,deletions,substitutions,inserted_words,deleted_words,substituted_words
6.111111111111111,55,9,17,0,1,"['when', 'im', 'making', 'the', 'order', 'im', 'going', 'to', 'make', 'it', 'to', 'the', 'other', 'side', 'later', 'i', 'thought']",[],"[('risk', 'this')]"
1.0588235294117647,18,17,1,1,3,['getting'],['this'],"[('going', 'out'), ('cards', 'cars'), ('though', 'dude')]"
3.5,7,2,0,1,1,[],['two'],"[('queens', 'cheers')]"
43.0,43,1,13,0,1,"['and', 'you', 'can', 'go', 'outside', 'the', 'forums', 'thats', 'just', 'the', 'end', 'of', 'the']",[],"[('what', 'video')]"
2.5,10,4,0,2,1,[],"['i', 'fucking']","[('hate', 'thank')]"
1.6,8,5,0,0,2,[],[],"[('pick', 'take'), ('up', 'out')]"
4.0,4,1,0,0,1,[],[],"[('hm', 'art')]"
0.0,0,1,0,0,0,[],[],[]
0.0,0,2,0,0,0,[],[],[]
0.0,0,2,0,0,0,[],[],[]
2.0,4,2,0,0,1,[],[],"[('shuffle', 'shop')]"
0.0,0,3,0,0,0,[],[],[]
2.0,4,2,0,0,1,[],[],"[('wheres', 'heres')]"
1.6,8,5,0,0,2,[],[],"[('you', 'me'), ('mean', 'with')]"
2.0,4,2,0,0,1,[],[],"[('can', 'get')]"
4.0,16,4,4,0,1,"['know', 'the', 'other', 'two']",[],"[('howre', 'how')]"
0.5714285714285714,4,7,0,0,1,[],[],"[('cards', 'harm')]"
0.0,0,2,0,0,0,[],[],[]
0.0,0,11,0,0,0,[],[],[]
0.0,0,2,0,0,0,[],[],[]
0.0,0,1,0,0,0,[],[],[]
1.0,4,4,0,0,1,[],[],"[('i', 'ive')]"
11.5,23,2,5,0,2,"['ill', 'see', 'you', 'in', 'the']",[],"[('two', 'next'), ('threes', 'one')]"
0.0,0,5,0,0,0,[],[],[]
1.1538461538461537,15,13,5,0,0,"['with', 'your', 'camera', 'black', 'i']",[],[]
0.0,0,4,0,0,0,[],[],[]
7.0,7,1,1,0,1,['im'],[],"[('huh', 'sorry')]"
2.6666666666666665,8,3,0,0,2,[],[],"[('calm', 'hold'), ('down', 'on')]"
0.0,0,10,0,0,0,[],[],[]
0.0,0,1,0,0,0,[],[],[]
4.0,4,1,0,0,1,[],[],"[('alright', 'ugh')]"
2.5,30,12,6,0,3,"['this', 'young', 'no', 'why', 'dont', 'to']",[],"[('risky', 'you'), ('giving', 'give'), ('you', 'me')]"
4.0,8,2,0,0,2,[],[],"[('i', 'o'), ('just', 'superintendent')]"
4.0,4,1,0,0,1,[],[],"[('what', 'whats')]"
0.6,6,10,2,0,0,"['up', 'fast']",[],[]
4.5,18,4,2,0,3,"['this', 'top']",[],"[('then', 'thankfully'), ('stop', 'i'), ('saying', 'need')]"
10.0,10,1,2,0,1,"['thanks', 'for']",[],"[('hmm', 'watching')]"
1.0,6,6,0,2,0,[],"['nay', 'nay']",[]
1.0833333333333333,13,12,3,0,1,"['itll', 'be', 'okay']",[],"[('cards', 'card')]"
3.5,7,2,0,1,1,[],['three'],"[('eights', 'thursday')]"
4.444444444444445,40,9,4,0,7,"['im', 'like', 'oh', 'my']",[],"[('not', 'god'), ('calling', 'im'), ('bullshit', 'like'), ('not', 'like'), ('calling', 'im'), ('bullshit', 'bossing'), ('that', 'it')]"
0.2727272727272727,3,11,1,0,0,['no'],[],[]
4.142857142857143,29,7,2,1,5,"['most', 'of']",['yeah'],"[('ill', 'i'), ('pay', 'picked'), ('for', 'up'), ('bullshit', 'the'), ('two', 'performance')]"
2.6666666666666665,8,3,0,0,2,[],[],"[('its', 'lets'), ('fair', 'see')]"
0.8888888888888888,8,9,0,0,2,[],[],"[('cause', 'good'), ('its', 'as')]"
1.2222222222222223,11,9,1,0,2,['you'],[],"[('yeah', 'here'), ('youre', 'are')]"
0.0,0,1,0,0,0,[],[],[]
23.5,47,2,13,0,2,"['would', 'you', 'take', 'any', 'care', 'with', 'me', 'while', 'im', 'at', 'meow', 'theres', 'many']",[],"[('but', 'in'), ('card', 'there')]"
2.5,15,6,1,0,3,['sort'],[],"[('was', 'of'), ('to', 'got'), ('call', 'a')]"
4.0,16,4,0,0,4,[],[],"[('well', 'no'), ('there', 'this'), ('goes', 'is'), ('that', 'good')]"
8.375,67,8,20,1,1,"['cards', 'is', 'by', 'placing', 'them', 'they', 'are', 'like', 'a', 'dog', 'they', 'are', 'like', 'a', 'dog', 'they', 'are', 'like', 'a', 'dog']",['eh'],"[('they', 'the')]"
4.0,4,1,0,0,1,[],[],"[('ha', 'sir')]"
0.7,7,10,1,0,1,['i'],[],"[('your', 'our')]"
3.0,15,5,1,0,3,['and'],[],"[('one', 'none'), ('is', 'are'), ('joker', 'children')]"
4.0,4,1,0,0,1,[],[],"[('nice', 'hahaha')]"
0.8,4,5,0,0,1,[],[],"[('damn', 'dale')]"
0.0,0,3,0,0,0,[],[],[]
0.75,6,8,0,2,0,[],"['mhm', 'mhm']",[]
4.25,17,4,3,0,2,"['oh', 'my', 'oh']",[],"[('only', 'my'), ('got', 'god')]"
7.6,38,5,6,0,5,"['im', 'not', 'going', 'to', 'tell', 'you']",[],"[('hell', 'whats'), ('listen', 'going'), ('as', 'on'), ('i', 'about'), ('predicted', 'that')]"
1.125,9,8,0,3,0,[],"['yall', 'better', 'not']",[]
0.0,0,1,0,0,0,[],[],[]
3.05,61,20,0,7,10,[],"['all', 'it', 'just', 'got', 'to', 'all', 'is']","[('you', 'i'), ('got', 'think'), ('to', 'i'), ('sell', 'a'), ('it', 'salad'), ('you', 'guys'), ('got', 'im'), ('to', 'gonna'), ('sell', 'a'), ('it', 'salad')]"
7.0,7,1,1,0,1,['thank'],[],"[('hmm', 'you')]"
2.0,6,3,0,2,0,[],"['got', 'it']",[]
4.0,4,1,0,0,1,[],[],"[('two', 'steam')]"
2.625,42,16,0,14,0,[],"['oh', 'because', 'i', 'knew', 'one', 'four', 'fuck', 'shit', 'pick', 'that', 'up', 'no', 'hold', 'on']",[]
3.5,14,4,1,1,2,['good'],['i'],"[('said', 'thats'), ('four', 'one')]"
14.5,58,4,14,0,4,"['im', 'so', 'happy', 'to', 'have', 'you', 'im', 'so', 'happy', 'to', 'have', 'you', 'im', 'so']",[],"[('lead', 'happy'), ('with', 'to'), ('that', 'have'), ('confidence', 'you')]"
2.7142857142857144,19,7,1,0,4,['so'],[],"[('joker', 'manu'), ('and', 'manajoka'), ('she', 'raka'), ('call', 'and')]"
0.8636363636363636,19,22,1,0,4,['show'],[],"[('do', 'know'), ('it', 'what'), ('showi', 'i'), ('not', 'that')]"
